1|Acidic Slime
1|Arbor Elf
1|Asceticism
1|Autumn's Veil
1|Bane of Progress
1|Beast Whisperer
1|Beast Within
1|Beastmaster Ascension
1|Biogenic Ooze
1|Bramblecrush
1|Caustic Caterpillar
1|Craterhoof Behemoth
1|Creeping Corrosion
1|Creeping Renaissance
1|Curse of Bounty
1|Elemental Bond
1|Elvish Mystic
1|Elvish Visionary
1|End-Raze Forerunners
1|Eternal Witness
1|Explosive Vegetation
1|Gaea's Blessing
1|Great Oak Guardian
1|Green Sun's Zenith
1|GuProject
1|Harrow
1|Hua Tuo, honored Physician
1|Karametra's Acolyte
1|Kodama's Reach
1|Krosan Grip
1|Lightning Greaves
1|Lignify
1|Llanowar Elves
1|Llanowar Scout
1|Mirri's Guile
1|Nykthos, Shrine to Nyx
1|Plummet
1|Praetor's Counsel
1|Priest of Titania
1|Prowling Serpopard
1|Quirion Ranger
1|Reclamation Sage
1|Regal Force
1|Relic Crush
1|Reliquary Tower
1|Sakura-Tribe Scout
1|Scavenging Ooze
1|Scryb Ranger
1|Seedborn Muse
1|Sensei's Divining Top
1|Silklash Spider
1|Skullclamp
1|Skyshroud Claim
1|Slate of Ancestry
1|Sol Ring
1|Solemn Simulacrum
1|Soul of the Harvest
1|Summoner's Pact
1|Swiftfoot Boots
1|Temp with Discovery
1|Temple of the False God
1|Temur Sabertooth
1|Thousand-Year Elixir
1|Voyaging Satyr
1|Wayward Swordtooth
1|Wirewood Symbiote
1|Woodfall Primus
1|Woodland Bellower
1|Worldly Tutor
1|Yisan, the Wanderer Bard
30|Forest
